"great.call","SNR.dB","recorder","wavname"
"M7_20190823_072004_MB_06_110.01_snr14.04",-2.12814666711162,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_06_110.01_snr14.04.wav"
"M7_20190823_072004_MB_06_110.02_snr13.62",-0.0423841017553244,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_06_110.02_snr13.62.wav"
"M7_20190823_072004_MB_06_110.03_snr13.55",-3.478588344475,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_06_110.03_snr13.55.wav"
"M7_20190823_072004_MB_06_110.04_snr14.79",-2.5155674211735,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_06_110.04_snr14.79.wav"
"M7_20190823_072004_MB_06_110.05_snr14.16",-4.49324315698631,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_MB_06_110.05_snr14.16.wav"
"M7_20190823_080004_DK_02_021.01_snr12.4",-2.33651940108944,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_080004_DK_02_021.01_snr12.4.wav"
"M7_20190823_080004_DK_02_021.02_snr13.54",-3.396825457862,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_080004_DK_02_021.02_snr13.54.wav"
"M7_20190823_080004_DK_02_021.03_snr11.71",-2.14492635368795,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_080004_DK_02_021.03_snr11.71.wav"
"M7_20190823_080004_DK_02_021.04_snr12.21",0.461905977168907,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_080004_DK_02_021.04_snr12.21.wav"
"M7_20190823_080004_DK_02_021.05_snr12.89",-1.63322064261882,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_080004_DK_02_021.05_snr12.89.wav"
"M7_20190823_080004_DK_07_045.01_snr15.07",1.05625149126552,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_080004_DK_07_045.01_snr15.07.wav"
"M7_20190823_080004_DK_07_045.02_snr15.24",-1.53941965095929,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_080004_DK_07_045.02_snr15.24.wav"
"M7_20190823_080004_DK_07_045.03_snr9.56",-1.70627480009667,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_080004_DK_07_045.03_snr9.56.wav"
